,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
476,Standard_E96-24as_v4,switzerlandwest,USD,0.0,2.249,2.249,CH West,2022-12-01T00:00:00Z,9c226f77-e3f3-54e7-b283-1f27605a9c7a,E96-24as_v4 Low Priority,DZH318Z0CM92,DZH318Z0CM92/03H4,Virtual Machines Easv4 Series Windows,E96-24as_v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
477,Standard_L32s_v3,canadaeast,USD,0.0,4.544,4.544,CA East,2022-09-01T00:00:00Z,9c22fcd4-118c-5b3b-aef4-cc01d348733e,L32s v3,DZH318Z08NRP,DZH318Z08NRP/013S,Virtual Machines Lsv3 Series Windows,Standard_L32s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
478,Standard_L32s_v3,canadaeast,USD,0.0,3.072,3.072,CA East,2022-09-01T00:00:00Z,9c22fcd4-118c-5b3b-aef4-cc01d348733e,L32s v3,DZH318Z08NRP,DZH318Z08NRP/013S,Virtual Machines Lsv3 Series Windows,Standard_L32s_v3,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
479,Standard_B16s_v2,australiacentral,USD,0.0,0.338,0.338,AU Central,2023-03-01T00:00:00Z,9c231dda-c970-5d46-93df-3c60c4b79b6f,B16s v2 Spot,DZH318Z0K9KD,DZH318Z0K9KD/016W,Virtual Machines Bsv2 Series Windows,B16s v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
480,Standard_B16s_v2,australiacentral,USD,0.0,0.3672,0.3672,AU Central,2023-03-01T00:00:00Z,9c231dda-c970-5d46-93df-3c60c4b79b6f,B16s v2 Spot,DZH318Z0K9KD,DZH318Z0K9KD/016W,Virtual Machines Bsv2 Series Windows,B16s v2 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
481,Standard_PB12s,southcentralus,USD,0.0,0.1826,0.1826,US South Central,2022-05-01T00:00:00Z,9c2412b1-4066-5234-825c-314d63fdc010,PB12s Spot,DZH318Z0BXN8,DZH318Z0BXN8/0018,Virtual Machines PB Series Windows,PB12s Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
482,Standard_PB12s,southcentralus,USD,0.0,0.29196,0.29196,US South Central,2023-05-01T00:00:00Z,9c2412b1-4066-5234-825c-314d63fdc010,PB12s Spot,DZH318Z0BXN8,DZH318Z0BXN8/0018,Virtual Machines PB Series Windows,PB12s Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
483,Standard_E64-16ads_v5,attatlanta1,USD,0.0,3.4412,3.4412,ATT Atlanta 1,2022-04-01T00:00:00Z,9c25ec93-50cc-536f-b70f-5915376bb928,E64-16ads v5 Spot,DZH318Z093WX,DZH318Z093WX/01N5,Virtual Machines Eadsv5 Series Windows,E64-16ads v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
484,Standard_E64-16ads_v5,attatlanta1,USD,0.0,2.2636,2.2636,ATT Atlanta 1,2022-04-01T00:00:00Z,9c25ec93-50cc-536f-b70f-5915376bb928,E64-16ads v5 Spot,DZH318Z093WX,DZH318Z093WX/01N5,Virtual Machines Eadsv5 Series Windows,E64-16ads v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
485,Standard_E96-24as_v4,germanynorth,USD,0.0,1.897,1.897,DE North,2022-12-01T00:00:00Z,9c270177-e679-5a11-a547-16ebee493c6b,E96-24as_v4 Low Priority,DZH318Z0CM92,DZH318Z0CM92/02HF,Virtual Machines Easv4 Series Windows,E96-24as_v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
