,armSkuName,armRegionName,currencyCode,tierMinimumUnits,retailPrice,unitPrice,location,effectiveStartDate,meterId,meterName,productId,skuId,availabilityId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,mismatched_reason
2560,Standard_NV16as_v4,attdallas1,USD,0.0,1.077,1.077,ATT Dallas 1,2022-04-01T00:00:00Z,e59a9b70-5aa8-56b5-819b-07eb90ad69ce,NV16as v4 Low Priority,DZH318Z0CGPM,DZH318Z0CGPM/00DP,,Virtual Machines NVasv4 Series Windows,NV16as v4 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2561,Standard_D4pds_v5,centralindia,USD,0.0,0.0242,0.0242,IN Central,2023-01-01T00:00:00Z,e59af1f5-57b4-54c8-bcde-dcad294508a8,D4pds v5 Low Priority,DZH318Z092SC,DZH318Z092SC/00DG,,Virtual Machines Dpdsv5 Series Windows,Standard_D4pds_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2562,Standard_D4pds_v5,centralindia,USD,0.0,0.122,0.122,IN Central,2023-01-01T00:00:00Z,e59af1f5-57b4-54c8-bcde-dcad294508a8,D4pds v5 Low Priority,DZH318Z092SC,DZH318Z092SC/00DG,,Virtual Machines Dpdsv5 Series Windows,Standard_D4pds_v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2563,Standard_D8lds_v5,jioindiawest,USD,0.0,0.396,0.396,IN West Jio,2023-04-01T00:00:00Z,e59c755a-4c1d-54b8-a24a-906946541a36,D8lds v5,DZH318Z08M9B,DZH318Z08M9B/01HS,,Virtual Machines Dldsv5 Series,D8lds v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2564,Standard_D96as_v5_Promo,canadaeast,USD,0.0,1.6436,1.6436,CA East,2022-07-01T00:00:00Z,e59d1d3a-9839-5dc8-8abd-6ec42973a10c,D96as v5 Promo Spot,DZH318Z08W2K,DZH318Z08W2K/0101,,Virtual Machines Dasv5 Promo Series Windows,Standard_D96as_v5_Promo Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2565,Standard_D96as_v5_Promo,canadaeast,USD,0.0,3.41,3.41,CA East,2022-07-01T00:00:00Z,e59d1d3a-9839-5dc8-8abd-6ec42973a10c,D96as v5 Promo Spot,DZH318Z08W2K,DZH318Z08W2K/0101,,Virtual Machines Dasv5 Promo Series Windows,Standard_D96as_v5_Promo Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2566,Standard_B4as_v2,westus2,USD,0.0,0.178,0.178,US West 2,2023-03-01T00:00:00Z,e59ea088-80bc-590a-8af2-39346dcdc4f9,B4as v2,DZH318Z0K9JF,DZH318Z0K9JF/023C,,Virtual Machines Basv2 Series Windows,B4as v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2567,Standard_B4as_v2,westus2,USD,0.0,0.16,0.16,US West 2,2023-03-01T00:00:00Z,e59ea088-80bc-590a-8af2-39346dcdc4f9,B4as v2,DZH318Z0K9JF,DZH318Z0K9JF/023C,,Virtual Machines Basv2 Series Windows,B4as v2,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,DevTestConsumption,True,mismatched_sku_detail
2568,Msmv2MedMem Type1,koreacentral,USD,0.0,41.899,41.899,KR Central,2021-07-01T00:00:00Z,e5a13c90-4620-5839-b526-bb1140c8ec5e,Msmv2MedMem Type1,DZH318Z0CTQD,DZH318Z0CTQD/00K9,,MSv2 Series Dedicated Host,Msmv2MedMem Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,mismatched_sku_detail
2569,Msmv2MedMem Type1,koreacentral,USD,0.0,308312.0,308312.0,KR Central,2021-07-01T00:00:00Z,e5a13c90-4620-5839-b526-bb1140c8ec5e,Msmv2MedMem Type1,DZH318Z0CTQD,DZH318Z0CTQD/00K7,,MSv2 Series Dedicated Host,Msmv2MedMem Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,mismatched_sku_detail
